Código Nomenclador;Descripción;Q GAL;Q GAL AY;ANEST;Gto;Q Ay;Norma;Unidad Arancelaria;Forma de Facturación
10606;Inyección paravertebral de troncos y ganglios simpáticos.? Simpático cervical, torácico, lumbar, esplácnico y semilunar..;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
10701;Ventriculografía por inyección de medio contraste ( líquido o gaseoso ). Incuye trepanación.;80,25;30;80,25;178;1;;A;
10702;Pan-arteriografía cerebral por cateterismo. Uni o bilateral.;119,25;30;80,25;83;1;;A;
10703;Arteriografía carotídea o vertebral. Por disección o punción directa. (X);66;0;80,25;78;0;;A;
10704;Neumoencefaloventriculografía fraccionada ( cisternografía );66;0;80,25;78;0;;A;
10705;Mielografía ascendente o descendente. Cisternografía. Mielografía. Radiculografía. (X);66;0;80,25;36;0;;A;
10706;Discografía. Neurografía. Epidurografía.;39,75;0;80,25;35;0;;A;
10707;INFUSION INTRATECAL O EN CANAL MEDULAR DE CITOSTATICOS;;;;;;;;
10708;TRATAMIENTO ENDOVASCULAR DE ANEURISMAS CRANEALES CON EMBOLIZACIONES TERAPEUTICAS O MICROLICIS;;;;;;;;
10709;TRATAMIENTO ENDOVASCULAR DE MALFORMACIONES CRANEALES CON EMBOLIZACIONES TERAPEUTICAS O MICROLISIS;;;;;;;;
10710;TRATAMIENTO ENDOVASCULAR DE TUMORES CRANEALES CON EMBOLIZACIONES TERAPEUTICAS PREQUIRURGICA;;;;;;;;
10711;ABLACION DE NERVIO CRANEAL POR RADIOFRECUENCIA;;;;;;;;
10713;SISTEMA DE DERIVACION VENTRICULO PERITONEAL CON RESERVORIO. DRENAJE LUMBO PERITONEAL;;;;;;;;
10801;BIOPSIA CEREBRAL ESTEREOTAXICA;;;;;;;;
1309;PUNCION LUMBAR CON O SIN MANOMETRIA;;;;;;;;
20101;Exenteración del contenido orbitario ( no incluye injerto de piel ).;201,75;39,75;80,25;267;1;;A;
20102;Neurotomía del nervio óptico.;178,5;34,5;80,25;223;1;;A;
20103;Orbitotomía con escisión de lesión de órbita, con extracción de cuerpo extra?o, con exploración, biopsia, drenaje,etc. Con o sin apertura de pared de órbita.;178,5;34,5;80,25;223;1;;A;
20104;Introducción de sustancias terapéuticas retrobulares inyectables.;0;0;0;5;0;;A;INCLUIDO EN CONSULTA
20105;Reparación plástica de la órbita con o sin injerto de piel. Incluye toma del mismo.;228;45;87;268;1;;A;
20106;Enucleación o evisceración del globo ocular con o sin implante. (García Nocito o similar).;228;45;80,25;220;1;;A;
20107;Aspiración, lavado e implante del vítreo.;201,75;39,75;87;267;1;;A;
20108;Vitrectomía. Con microscopio con luz coaxil y vitrectotomo.;637,5;127,5;186;910;1;;A;
20109;Tratamiento quirúrgico corrector del estrabismo ( miototomías, plegamientos, avanzamientos, injerto de siliconas, etc.). Uni o bilaterales.;252,75;51;104,25;228;1;;A;
20110;Op. de Humnelshein ( Suplantamiento del recto externo por el R.S. y R.I. ) y variantes.;252,75;51;104,25;223;1;;A;
20111;Excenteración de contenido orbitario y resección total del maxilar superior.;372,75;74,25;159,75;352;2;;A;
20201;Reconstrucción total del párpado. Técnica de Hugjes o similar.;201,75;39,75;87;223;1;;A;
20202;Blefaroplastia ( injerto, cantoplastia, trasoplastia, restaución plástica de cejas por injerto, reposición base ciliar, corrección de ptosis-unilateral ) ectropión y entropión.;119,25;30;80,25;220;1;;A;
20203;Blefarorragia parcial o total.;39,75;0;0;97;0;;A;
20204;Blefarochalasis.;61,5;0;0;95;0;;A;
20205;Escisión de lesión de párpados, blefarectomía ( piel de párpados glándula meibomiana, chalazio sutura de piel de párpados con o sin lesión de borde libre ) Blefarotomía ( absceso, orzuelo ).;12,75;0;0;52;0;;A;
20301;Conjuntivoplastia ( injerto libre de conjuntiva o membrana mucosa del labio. Operación colgajo: Flaping de conjuntiva ).;101,25;30;80,25;121;1;;A;
20302;Escisión de lesión conjuntiva ( quiste epitelioma, nevus, pterigión ).;61,5;0;0;118;0;;A;
20303;Introducción de substancias terapéuticas subconjuntivales y en Tennon con incisión y sutura.;39,75;0;0;89;0;;A;
20304;Peritectomía, peritomía, escisión de anillo de conjuntiva alrededor de córnea ( pannus ).;61,5;0;0;89;0;;A;
20305;Sutura de conjuntiva ( incluída extracción de cuerpo extra?o). Cuerpo extra?o subconjuntival. Biopsia de conjuntiva. (X);21,75;0;0;89;0;;A;
20306;Introducción de substancias terapéuticas inyectables subcunjuntivales.;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
20401;Queratoplastia laminar, injerto de córnea.;372,75;74,25;132,75;271;1;;A;
20402;Queratoprótesis total, queratoplastia total.;425,25;84,75;186;271;1;;A;
20403;Sutura de córnea.;80,25;30;80,25;175;1;;A;
20404;Queratocentesis ( como única intervención ).;39,75;0;0;45;0;;A;UNICO CODIGO
20405;Cauterización corneal con o sin raspado previo.;0;0;0;5;0;;A;INCLUIDO EN CONSULTA
20406;Sutura de herida de córnea con prolapso de iris y/o herida de cristalino. Extracción de cuerpo extra?o en cámara anterior.;119,25;30;80,25;124;1;;A;
20501;Tratamiento quirúrgico del glaucoma. (X);303;61,5;87;268;1;El tratamiento quirúrgico;A;
20502;Iridatomía. Coreoplastia. Iridectomía.;201,75;39,75;80,25;222;1;;A;
20503;Iridociclectomía o ciclectomía por tumores.;228;45;87;352;1;;A;
20601;Fotocoagulación convencional ( cada dos sesiones o fracción ).;159,75;0;80,25;318;0;;A;
20602;Fotocoagulación con rayo laser. (X);159,75;0;80,25;407;0;Esta práctica no se cobra;A;
20603;Retinopexia con esclerectomía e inplante.;372,75;74,25;90,75;273;1;;A;
20604;Retinopexia y esclerectomía.;252,75;51;87;268;1;;A;
20605;Retinopexia ( diatermia, crio, etc. ).;252,75;51;87;224;1;;A;
20606;Esclerectomía con extracción de cuerpo extra?o, intraocular;201,75;39,75;87;223;1;;A;
20701;Extracción del cristalino (cataratas). (X);345;69;90,75;228;1;;A;
20702;Extracción de masas critalinianas. Discición y aspiración de masas cristalinianas.;119,25;30;80,25;220;1;;A;
20703;Capsulotomía.;80,25;30;80,25;177;1;;A;
20704;IMPLANTE DE LENTE INTRAOCULAR EN FORMA EXTRACAPSULAR;;;;;;;;
20705;IMPLANTE DE MEMBRANA AMNIOTICA SOLO EN QUEMADURAS IGNEAS O QUIMICAS;;;;;;;;
20801;Dacriocistorrinostomía, fistulización de saco lagrimal en cavidad nasal. Operación plástica en canalización.;201,75;39,75;87;223;1;;A;
20802;Escisión de glándula lagrimal. Escisión de saco lagrimal.;119,25;30;80,25;220;1;;A;
20803;Drenaje de glándula o saco lagrimal (abceso). Sección de papila lagrimal (estricturotomía). (X);12,75;0;0;26;0;;A;
20804;Cateterización de conducto lagrimonasal en quirófano con anestesia general.;39,75;0;80,25;49;0;;A;
20901;FOTOCOAGULACION CON YAG LASER.;;;;;;;;
20902;FOTOCOAGULACION CON LASER ONLY GREEN;;;;;;;;
20904;FOTOCIRUGIA CON DYE LASER;;;;;;;;
20905;FOTOCIRUGIA CON KRIPTON LASER;;;;;;;;
20906;IRIDECTOMIA POR LASER;;;;;;;;
20907;TRABECULOPLASTIA CON LASER;;;;;;;;
30101;Reconstrucción del pabellón auricular con injerto de cartílago y piel (por tiempo operatorio);119,25;30;80,25;188;1;;A;
30102;Otoplastia o reconstrucción del pabellón (cucurucho, ansiforme, lóbulo defecto o similares).;101,25;30;80,25;124;1;;A;
30103;Otoplastia de lóbulo hendido.;39,75;30;80,25;75;1;;A;
30104;Escisión completa o amputación de pabellón.;80,25;30;80,25;121;1;;A;
30105;Incisión y drenaje de aurícula. Sutura del pabellón auricular.;12,75;0;0;26;0;;A;
30106;Cirugía de agenesia de conducto auditivo externo.;531,75;106,5;186;281;1;;A;
30107;Resección de osteoma.;80,25;30;80,25;121;1;;A;
30108;Extirpación de coloboma auris.;101,25;30;80,25;121;1;;A;
30109;Escisión de lesión local de conducto auditivo externo. Incisión y drenaje de conducto auditivo externo y de piel de oído. Biopsia de oído externo.;12,75;0;0;26;0;;A;
30201;Miringoplastia.;303;61,5;127,5;276;1;;A;
30202;Tímpanoplastia. (X);425,25;84,75;159,75;281;1;;A;
30203;Miringotomía con o sin colocación de tubo drenaje.(uni o bilateral). (X);0;0;0;26;0;;A;INCLUIDO EN CONSULTA
30204;Cirugía plástica por agenesia de oído medio.;691,5;138,75;186;281;1;;A;
30205;Movilización del estribo.;201,75;39,75;87;223;1;;A;
30206;Estepadectomía.;372,75;74,25;132,75;276;1;;A;
30207;Mastoidectomía simple o radical.;201,75;39,75;87;267;1;;A;
30208;Antronomía mastoidea. Cierre de fístula mastoidea.;101,25;30;80,25;177;1;;A;
30209;Punción de antro mastoideo.;12,75;0;0;20;0;;A;
30210;Cirugía del glomus yugularis.;797,25;159,75;239,25;361;1;;A;
30211;Cirugía de segunda y tercera porciones de nervio facial.;531,75;106,5;186;361;1;;A;
30301;Laberintectomía.;372,75;74,25;132,75;273;1;;A;
30302;Fenestración del conducto semicircular externo.;531,75;106,5;159,75;273;1;;A;
30303;Cirugía del saco endolinfático.;531,75;106,5;159,75;361;1;;A;
30304;Cirugía del conducto auditivo interno y su contenido (primera porción del facial, auditivo interno vestibular) cualquiera fuere la vía del abordaje.;637,5;127,5;186;361;1;;A;
30305;Tratamiento quirúrgico de fractura del pe?asco.;478,5;95,25;159,75;223;1;;A;
30306;Tratamiento quirúrgico de neurinoma del acústico por vía óptica.;797,25;159,75;186;346;1;;A;
30401;Atresia de coanas (permeabilización por acceso palatino).;252,75;51;104,25;273;1;;A;
30402;Resección total de nariz.;119,25;30;80,25;220;1;;A;
30403;Reconstrucción diferida de pirámide nasal con colgajo. Por tiempo operatorio.;101,25;30;80,25;120;1;;A;
30404;Tratamiento quirúrgico del rinofina.;80,25;30;80,25;120;1;;A;
30405;Escisión de tumores endonasales por rinotomía lateral.;201,75;39,75;87;223;1;;A;
30406;Resección de lesión local endonasal (de septum. de cornete hematoma septal, drenaje de septum)Ext. de pólipos nasales. (X);12,75;0;0;45;0;;A;
30407;Escisión de pólipo retro-coanal.;39,75;0;0;26;0;;A;
30408;Rinoplastia con injerto cutáneo pediculado, con o sin injerto óseo cartilaginoso o implantes. Incluye toma del injerto.;228;45;104,25;181;1;Cuando este código se;A;
30409;Septumplastia por implantación de cartílago autógeno. Incluye toma del injerto.;178,5;34,5;87;179;1;;A;
30410;Septumplastia por perforación o implantación de acrílico en fosas nasales.;101,25;30;80,25;163;1;;A;
30411;Resección de tabique nasal. Operación de Killian.;80,25;30;80,25;174;1;;A;
30412;Turbinectomía parcial o completa simple (única o múltiple), resección submucosa de cornete inferior.;39,75;0;0;26;0;"La expresión ""única y";A;
30413;Sutura de nariz. Biopsia de nariz.;9;0;0;26;0;;A;
30501;Cierre de fístula meníngea (craneorrino) por vía transinual.;372,75;74,25;132,75;361;1;;A;
30502;Sinusotomía combinada, frontal, etmoidal y esfenoidal (unilateral) por vía externa o transmaxilar.;252,75;51;104,25;228;1;;A;
30503;Sinusotomía combinada, frontal, etmoidal y esfenoidal (bilateral) por vía externa o transmaxilar.;303;61,5;127,5;238;1;;A;
30504;Sinusotomía radical frontal por vía externa.;119,25;30;80,25;122;1;;A;
30505;Sinusotomía frontal externa simple (trepanopunción de seno frontal).;39,75;0;0;89;0;;A;
30506;Sinusotomía esfenoidal.;119,25;30;80,25;124;1;;A;
30507;Punción de seno esfenoidal.;39,75;0;0;7;0;;A;
30508;Etmoidectomía interna.;80,25;30;80,25;118;1;;A;
30509;Cirugía de tumores etmoidales.;119,25;30;80,25;118;1;;A;
30510;Antrotomía maxilar radical (sinusotomía maxilar radical, unilateral).;119,25;30;80,25;122;1;;A;
30511;Antrotomía maxilar radical (sinusotomía maxilar radical, bilateral).;228;45;104,25;228;1;;A;
30512;Sinusotomía maxilar simple (ventana antral) unilateral.;80,25;30;80,25;124;1;;A;
30513;Sinusotomía maxilar simple bilateral. (X);119,25;30;80,25;124;1;;A;
30514;Cierre de fístula oral de seno maxilar (buco antral).;119,25;30;80,25;178;1;;A;
30515;Punción de seno con o sin inserción de sonda dentro del seno paranasal o biopsia de seno paranasal (uni o bilateral). (X);21,75;0;0;7;0;;A;
30516;Cirugía de la fosa pterigomaxilar (exploración, escisión de tumor, etc). (X);252,75;51;127,5;220;1;;A;
30517;SINUSOTOMIA COMBINADA CON FIBRA OPTICA Y VIDEOSCOPIA;;;;;;;;
30518;SINUSOTOMIA RADICAL CON FIBRA OPTICA Y VIDEOSCOPIA;;;;;;;;
30519;CIRUGIA DE LA FOSA PTERIGOMAXILAR CON VIDEOFIBROSCOPIA;;;;;;;;
30601;Laringuectomía radical con vaciamiento de cuello (operación de laringe).;531,75;106,5;186;328;2;;A;
30602;Laringofaringectomía.;425,25;84,75;159,75;281;2;;A;
30603;Laringectomía total.;372,75;74,25;132,75;233;2;;A;
30604;Laringectomía parcial.;252,75;51;104,25;178;2;;A;
30605;Laringoplastia-cordopexia-aritenoideopexia.;201,75;39,75;87;223;2;;A;
30606;Laringotomía mediana e inferior - laringofisura - tirotomía - cricotirotomía - laringorrafía (como única operación).;119,25;30;80,25;124;1;;A;UNICO CODIGO
30607;Incisión y drenaje de laringe (abceso, pericondritis).;21,75;0;0;45;0;;A;
30608;Microcirugía de laringe. (X);252,75;51;104,25;361;2;;A;
30609;MICROCIRUGIA DE LARINGE CON LASER;;;;;;;;
30701;Incisión y drenaje de lesión de origen dentario.;9;0;0;26;0;;A;
30702;Extirpación de gérmen dentario, Ameloblastoma.;101,25;30;80,25;178;1;;A;
30703;Gingivectomía parcial (tumores).;61,5;30;80,25;78;1;;A;
30704;Gingivectomía total ampliada (tumores).;80,25;30;80,25;122;1;;A;
30705;Operación comando de encía o de trígono retromolar (escisión de lesión primaria, más vaciamiento ganglionar cervical ).;372,75;74,25;132,75;276;2;;A;
30706;Biopsia de encía. Sutura de encía.;12,75;0;0;26;0;;A;
30801;Parotidectomia total.;425,25;84,75;159,75;276;2;;A;
30802;Operación comando de parótida (escisión de lesión primaria y vaciamiento gangliolar cervical).;531,75;106,5;186;361;2;Cuando se realice la op;A;
30803;Parotidectomía del lóbulo superficial.;252,75;51;104,25;218;2;;A;
30804;Escisión radical de glándula submaxilar.;119,25;30;80,25;180;1;;A;
30805;Operación comando de glándula submaxilar (escisión de lesión primaria y vaciamiento ganglionar cervical).;372,75;74,25;132,75;261;1;;A;
30806;Incisión y drenaje de glándula parótida, submaxilar o sus conductos.;21,75;0;0;45;0;;A;
30807;Biopsia de glándula salival.Extracción incisional de cálculos salivales.;39,75;0;0;26;0;;A;
30808;Extirpación de ránula.;61,5;30;80,25;56;1;;A;
30901;Operación comando piso de boca (escisión de lesión primaria y vaciamiento ganglionar cervical).;531,75;106,5;186;361;2;;A;
30902;Escisión ampliada de mucosa yugal y reconstructiva inmediata con injerto o colgajo (incuye toma de injerto o preparación de colgajo).;252,75;51;104,25;218;1;;A;
30903;Estomatoplastia con injerto (incluye toma de injerto).;119,25;30;80,25;178;1;;A;
30904;Incisión y drenaje de piso de boca-biopsia de mucosa bucal. Sutura de boca (piso o cara mucosa de mejilla). (X);12,75;0;0;26;0;;A;
30905;Cierre de fístula externa de boca.;80,25;30;80,25;119;1;;A;
31001;Queiloplastia,labio leporino,unilateral.;101,25;30;80,25;213;1;;A;
31002;Queiloplastia, labio leporino, bilateral.;201,75;39,75;104,25;260;1;;A;
31003;Queiloplastia uni o bilateral con palatoplastia.;252,75;51;104,25;276;1;;A;
31004;Resección de labio (por escisión amplia de tumor maligno y sutural). Escisión en cu?a (como única operación).;101,25;30;80,25;180;1;;A;
31005;Queiloplastia de Bernard, Borow, Abbe Eastlander o similar (escisión de tumor de labio inferior y reconstrucción inmediata por deslizamiento o colgajo).;303;61,5;127,5;276;1;;A;
31006;Queiloplastia, con vaciamiento ganglionar suprahiodeo bilateral.;425,25;84,75;132,75;361;2;;A;
31007;Escisión local de lesión de labio.;39,75;30;0;89;1;;A;
31008;Incisión y drenaje de labio (abceso).Sutura de labio.Biopsia de labio.;12,75;0;0;26;0;;A;
31101;Operación comado de lengua (escisión de lesión primaria y vaciamiento ganglionar cervical).;531,75;106,5;186;361;2;;A;
31102;Glosectomía subtotal.;119,25;30;80,25;220;1;;A;
31103;Escisión local de lesión de lengua. (X);61,5;30;80,25;162;1;;A;
31104;Glosoplastia.;101,25;30;80,25;178;1;;A;
31105;Glosotomía con drenaje de absceso, con extracción de cuerpo extra?o. Sección frenillo lingual. Sutura de lengua. Biopsia de lengua. (X);12,75;0;0;26;0;;A;
31201;Palatoplastia (paladar blando o duro) Por tiempo operatorio.;119,25;30;80,25;220;1;;A;
31202;Resección parcial de paladar.;80,25;30;80,25;180;1;;A;
31203;Resección total de paladar.;252,75;51;104,25;220;1;;A;
31204;Resección total de paladar y reconstrucción inmediata con injerto o colgajo (incluye toma de injerto y preparación del colgajo).;372,75;74,25;132,75;268;2;;A;
31205;Operación comando de paladar blando (escisión de lesión primaria y vaciamiento ganglionar).;531,75;106,5;186;361;2;;A;
31206;Insición y drenaje de paladar (absceso). Sutura de paladar. Biopsia de paladar.;12,75;0;0;26;0;;A;
31301;Amigdalectomía, adenoidectomía o amígdalo-adenoidectomía.;61,5;0;80,25;109;0;;A;
31302;Escisión o electrocoagulación de amígdala lingual, resto amigdalino o tegido linfoideo-faríngeo. (X);39,75;0;80,25;65;0;;A;
31303;Incisión y drenaje de amígdalas o tejidos periamigdalinos. (X);12,75;0;0;26;0;;A;
31304;Operación comando de faringe (escisión de lesión primaria y vaciamiento ganglionar cervical).;531,75;106,5;186;361;2;;A;
31305;Faringoplastia.;201,75;39,75;87;268;2;;A;
31306;Faringuectomía parcial (tumores, etc.).;252,75;51;104,25;271;2;;A;
31307;Escisión de divertículo faringoesofágico.Escisión de lesión local de faringe, de fístula branquial y/o quiste branquial o vestigio.;201,75;39,75;87;225;2;;A;
31308;Faringotomía (exploración-extracción de cuerpo extra?o). Insición y drenaje de tejido retrofaríngeo (por vía bucal).;61,5;0;80,25;121;0;;A;
31309;Cierre de farigostoma.;101,25;30;80,25;180;1;;A;
31310;Sutura de faringe.;80,25;0;80,25;176;0;;A;
31311;Biopsia de faringe.;12,75;0;0;26;0;;A;
31312;Escisión radical de lesión de nasofaringe.;201,75;39,75;104,25;225;1;;A;
31313;Biopsia de lesión de nasofaringe.;39,75;0;0;45;0;;A;
31314;IMPLANTES COCLARES;;;;;;;;
40101;Tiroidectomía total con vaciamiento ganglionar radical unilateral.;425,25;84,75;159,75;366;2;;A;
40102;Tiroidectomía total con vaciamiento ganglionar radical bilateral.;478,5;95,25;159,75;385;2;;A;
40103;Tiroidectomía total.;303;61,5;127,5;268;2;;A;
40104;Tiroidectomía sub-total-hemitiroidectomía. (X);252,75;51;87;223;2;;A;
40105;Extirpación de quiste tirogloso.;101,25;30;80,25;180;1;;A;
40106;Punción biopsia de tiroides.;9;0;0;26;0;;A;
40107;Incisión y drenaje de quiste tirogloso infectado.;9;0;0;45;0;;A;
40108;Paratiroidectomía.;201,75;39,75;87;225;2;;A;
40201;Adrenalectomía bilateral.;425,25;84,75;186;366;1;;A;
40202;Adrenalectomía unilateral.;252,75;51;127,5;273;2;;A;
40301;Hipofisectomía transeptoesfenoidal.;531,75;106,5;159,75;385;1;;A;
50101;Resección de pleuraparietal, costillas, músculos intercostales. (como única operación ).;303;61,5;127,5;323;2;;A;UNICO CODIGO
50102;Operación plástica por tórax en carina o excavado.;303;61,5;127,5;323;2;;A;
50103;Toracoplastia.(por cada tiempo operatorio).;119,25;30;80,25;267;2;;A;
50201;Traqueoplastia.;303;61,5;127,5;267;2;;A;
50202;Traqueostomía. Traqueotomía (como única intervención ).;80,25;30;80,25;122;1;No será facturada cuan;A;UNICO CODIGO
50203;Traqueorrafia por acceso cervical (sutura de tráquea-cierre de traqueostomía o fístula traqueal).;178,5;34,5;87;179;1;;A;
50301;Traqueoplastia por acceso torácico. Broncoplastia.;372,75;74,25;132,75;325;2;;A;
50302;Broncotomía.Broncorrofia(herida-traumatismo).;252,75;51;104,25;228;2;;A;
50303;Cavernostomía.;201,75;39,75;87;179;1;;A;
50304;Cierre de fístula bronco cutánea.;252,75;51;104,25;318;2;;A;
50401;Neumonectomía, lobectomía, segmentectomía. pleuroneumonectomía. Decorticación de pulmón.;478,5;95,25;212,25;366;2;;A;
50402;Escisión local de lesión pulmonar, cuerpo extra?o, quistectomía o lesiones de enfisema.;252,75;51;153,75;228;2;La poliquistomía pulmo;A;
50403;Operaciones en el mediastino (vía torácica o transesternal) tumores abscesos, drenajes, cuerpos extra?os, timo, etc.;372,75;74,25;159,75;361;2;;A;
50404;Neumomediastino.;21,75;0;0;7;0;;A;
50405;Mediastinoscopía.;80,25;0;80,25;175;0;;A;
50406;Toracotomía amplia exploradora. Biopsia de pulmón, pleura o mediastino.;201,75;39,75;127,5;223;2;;A;
50407;Drenaje de pleura con trocard, por toracotomía mínima. (X);39,75;0;0;89;0;;A;
50408;Punción de cavidad pleural para lavaje, para instilación de substancias terapéuticas. Punción pleural y/o pulmonar diagnostica, evacuadora. (X);0;0;0;7;0;;A;INCLUIDO EN CONSULTA
50409;Punción biopsia de pleura o pulmón con agujas especiales -Vim-Sylverman, Coper o similares. (X);39,75;0;0;26;0;;A;
50410;Biopsia de grasa pre-escalénica.( biopsia de Daniels).;80,25;30;80,25;73;1;;A;
50411;Neumotórax por cada inyección.;0;0;0;7;0;;A;INCLUIDO EN CONSULTA
